Species,Location,Latitude,Longitude,Observation Date,Count
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,25
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,7
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Ruby-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Golden-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,5
Bewick's Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
American Robin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,47
House Finch,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Pine Siskin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Fox Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Song Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Spotted Towhee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Gadwall,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
American Wigeon,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,200
Northern Pintail,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Green-winged Teal,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Ring-necked Duck,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,21
Pied-billed Grebe,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Great Blue Heron,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Bald Eagle,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
American Crow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Brown Creeper,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Pacific Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Northern Shoveler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,1
Yellow-rumped Warbler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,4
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,25
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,7
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Ruby-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Golden-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,5
Bewick's Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
American Robin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,47
House Finch,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Pine Siskin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Fox Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Song Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Spotted Towhee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Gadwall,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
American Wigeon,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,200
Northern Pintail,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Green-winged Teal,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Ring-necked Duck,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,21
Pied-billed Grebe,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Great Blue Heron,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Bald Eagle,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
American Crow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Brown Creeper,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Pacific Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Northern Shoveler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,1
Yellow-rumped Warbler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,4
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,25
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,7
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Ruby-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Golden-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,5
Bewick's Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
American Robin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,47
House Finch,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Pine Siskin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Fox Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Song Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Spotted Towhee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Gadwall,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
American Wigeon,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,200
Northern Pintail,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Green-winged Teal,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Ring-necked Duck,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,21
Pied-billed Grebe,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Great Blue Heron,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Bald Eagle,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
American Crow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Brown Creeper,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Pacific Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Northern Shoveler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,1
Yellow-rumped Warbler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,4
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,25
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,7
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Ruby-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Golden-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,5
Bewick's Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
American Robin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,47
House Finch,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Pine Siskin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Fox Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Song Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Spotted Towhee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Gadwall,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
American Wigeon,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,200
Northern Pintail,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Green-winged Teal,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Ring-necked Duck,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,21
Pied-billed Grebe,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Great Blue Heron,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Bald Eagle,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
American Crow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Brown Creeper,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Pacific Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Northern Shoveler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,1
Yellow-rumped Warbler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,4
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,25
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,7
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Ruby-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Golden-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,5
Bewick's Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
American Robin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,47
House Finch,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Pine Siskin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Fox Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Song Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Spotted Towhee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Gadwall,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
American Wigeon,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,200
Northern Pintail,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Green-winged Teal,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Ring-necked Duck,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,21
Pied-billed Grebe,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Great Blue Heron,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Bald Eagle,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
American Crow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Brown Creeper,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Pacific Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Northern Shoveler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,1
Yellow-rumped Warbler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,4
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,25
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,7
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Ruby-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Golden-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,5
Bewick's Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
American Robin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,47
House Finch,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Pine Siskin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Fox Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Song Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Spotted Towhee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,3
Gadwall,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
American Wigeon,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,200
Northern Pintail,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Green-winged Teal,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Ring-necked Duck,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,21
Pied-billed Grebe,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Great Blue Heron,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,2
Bald Eagle,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
American Crow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,3
Brown Creeper,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Pacific Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00,1
Northern Shoveler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,1
Yellow-rumped Warbler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00,4
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,25
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,7
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,2
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,1
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00,6
